country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-07-2026 16:00:00",25.697189,85.2459,PM10,64,81,72
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-07-2026 16:00:00",25.697189,85.2459,CO,27,44,37
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-07-2026 16:00:00",25.697189,85.2459,OZONE,25,84,54
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","15-07-2026 16:00:00",25.560083,87.553265,CO,78,100,90
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","15-07-2026 16:00:00",26.0881305,87.93840336,SO2,5,9,8
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","15-07-2026 16:00:00",27.308328,84.531742,PM10,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","15-07-2026 16:00:00",27.308328,84.531742,NO2,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","15-07-2026 16:00:00",27.308328,84.531742,SO2,NA,NA,NA
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","15-07-2026 16:00:00",14.438164,79.966814,OZONE,30,45,39
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","15-07-2026 16:00:00",16.9872867,81.7363176,PM2.5,33,63,46
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","15-07-2026 16:00:00",13.67,79.35,SO2,3,11,7
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","15-07-2026 16:00:00",13.67,79.35,OZONE,9,16,14
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-07-2026 16:00:00",13.615387,79.40923,PM2.5,53,70,56
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-07-2026 16:00:00",13.615387,79.40923,CO,21,30,25
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-07-2026 16:00:00",13.615387,79.40923,OZONE,37,58,45
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-07-2026 16:00:00",16.509717,80.612222,PM10,36,119,68
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-07-2026 16:00:00",16.509717,80.612222,NO2,16,25,22
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","15-07-2026 16:00:00",16.509717,80.612222,OZONE,29,55,43
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","15-07-2026 16:00:00",25.859655,85.77944,NH3,1,2,1
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","15-07-2026 16:00:00",25.859655,85.77944,SO2,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","15-07-2026 16:00:00",25.859655,85.77944,CO,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","15-07-2026 16:00:00",26.2271665,84.3570427,NO2,2,3,2
